Artist Name(s),Album Name,AggregatePredictedAverage
16,Guides For The Misguided,0.0
AHI,The Light Behind the Sun,0.0
Adrian Crowley,Measure Of Joy,0.0
Adwaith,Solas,79.58695652173913
Ali Omar,Hashish Hits,0.0
"Ali Omar,Gina Mitchell",Hashish Hits,0.0
"Ali Omar,Kye",Hashish Hits,0.0
Biig Piig,11:11,64.6
Death By Unga Bunga,Raw Muscular Power,0.0
"Death By Unga Bunga,Mike Krol",Raw Muscular Power,0.0
"Death By Unga Bunga,Sløtface",Raw Muscular Power,0.0
Diffrent,My Sound,0.0
Dropkick,Primary Colours,0.0
Eugenia Choe,So We Speak,0.0
FACS,Wish Defense,0.0
"FROMTHEHEART,Chuck Sutton,Holidaykiss,Patches","well, we made it this far!",0.0
"FROMTHEHEART,Chuck Sutton,underscores","well, we made it this far!",0.0
"FROMTHEHEART,Mohawk Johnson,TYGKO","well, we made it this far!",0.0
"FROMTHEHEART,brakence,Holidaykiss,Patches","well, we made it this far!",0.0
"FROMTHEHEART,brakence,Knapsack,kmoe","well, we made it this far!",0.0
"FROMTHEHEART,brakence,glaive,ericdoa,kmoe,quinn","well, we made it this far!",0.0
"FROMTHEHEART,brakence,underscores","well, we made it this far!",0.0
"FROMTHEHEART,funeral,kmoe,Skylar Bennett","well, we made it this far!",0.0
Guided By Voices,Universe Room,0.0
HORSEBATH,Another Farewell,0.0
Inhaler,Open Wide,0.0
James Brandon Lewis,Apple Cores,0.0
Johnnyswim,When The War Is Over,68.45
"Johnnyswim,Tobe Nwigwe",When The War Is Over,0.0
"Kina Grannis,Imaginary Future,people i like,Henri Bardot,Mree",people i like,0.0
"Kina Grannis,Imaginary Future,people i like,Mree,Henri Bardot",people i like,0.0
Krept & Konan,Young Kingz II,0.0
"Krept & Konan,Chip",Young Kingz II,0.0
"Krept & Konan,Ghetts",Young Kingz II,0.0
"Krept & Konan,Ling Hussle",Young Kingz II,0.0
"Krept & Konan,Michael Ward",Young Kingz II,0.0
"Krept & Konan,Oxlade",Young Kingz II,0.0
"Krept & Konan,Popcaan",Young Kingz II,0.0
"Krept & Konan,Potter Payper,Matt Lansky",Young Kingz II,0.0
"Krept & Konan,Sizzla",Young Kingz II,0.0
"Krept & Konan,Youngs Teflon,Tyler Daley",Young Kingz II,0.0
"Larry June,2 Chainz,The Alchemist",Life Is Beautiful,0.0
Lewis Watson,blue skies grey,0.0
Low Roar,House In The Woods,0.0
Matt Nathanson,King Of (Un)Simple,0.0
"Matt Nathanson,Indigo Girls",King Of (Un)Simple,0.0
Matt Pond PA,The Ballad Of The Natural Lines,79.18181818181819
"Matt Pond PA,Anya Marina",The Ballad Of The Natural Lines,0.0
"Matt Pond PA,The Head And The Heart",The Ballad Of The Natural Lines,0.0
Michigander,Michigander,84.33333333333333
NATTI NATASHA,Natti Natasha en Amargue,0.0
"NATTI NATASHA,Ozuna",Natti Natasha en Amargue,0.0
Oklou,choke enough,0.0
"Oklou,Bladee",choke enough,0.0
"Oklou,underscores",choke enough,0.0
Rats On Rafts,Deep Below,0.0
Sam Moss,Swimming,0.0
Shannon Wright,Reservoir of Love,0.0
Sharon Van Etten,Sharon Van Etten & The Attachment Theory,70.6
Skeleten,Mentalized,0.0
Sleeper's Bell,Clover,0.0
Squid,Cowards,0.0
"Swept Away Original Broadway Cast,The Avett Brothers",Swept Away (Original Broadway Cast Recording),0.0
"Swept Away Original Broadway Cast,The Avett Brothers,Adrian Blake Enscoe,John Gallagher Jr.,Stark Sands,Wayne Duvall",Swept Away (Original Broadway Cast Recording),0.0
"Swept Away Original Broadway Cast,The Avett Brothers,Adrian Blake Enscoe,John Gallagher Jr.,Wayne Duvall,Cameron Johnson",Swept Away (Original Broadway Cast Recording),0.0
"Swept Away Original Broadway Cast,The Avett Brothers,Adrian Blake Enscoe,Stark Sands",Swept Away (Original Broadway Cast Recording),0.0
"Swept Away Original Broadway Cast,The Avett Brothers,Adrian Blake Enscoe,Wayne Duvall,Stark Sands,John Gallagher Jr.",Swept Away (Original Broadway Cast Recording),0.0
"Swept Away Original Broadway Cast,The Avett Brothers,John Gallagher Jr.",Swept Away (Original Broadway Cast Recording),0.0
"Swept Away Original Broadway Cast,The Avett Brothers,John Gallagher Jr.,Adrian Blake Enscoe,Stark Sands",Swept Away (Original Broadway Cast Recording),0.0
"Swept Away Original Broadway Cast,The Avett Brothers,John Gallagher Jr.,Adrian Blake Enscoe,Stark Sands,Wayne Duvall",Swept Away (Original Broadway Cast Recording),0.0
"Swept Away Original Broadway Cast,The Avett Brothers,John Gallagher Jr.,Stark Sands,Adrian Blake Enscoe,Wayne Duvall",Swept Away (Original Broadway Cast Recording),0.0
"Swept Away Original Broadway Cast,The Avett Brothers,John Gallagher Jr.,Wayne Duvall",Swept Away (Original Broadway Cast Recording),0.0
"Swept Away Original Broadway Cast,The Avett Brothers,Stark Sands,Adrian Blake Enscoe",Swept Away (Original Broadway Cast Recording),0.0
"Swept Away Original Broadway Cast,The Avett Brothers,Stark Sands,Adrian Blake Enscoe,John Gallagher Jr.,Wayne Duvall",Swept Away (Original Broadway Cast Recording),0.0
"Swept Away Original Broadway Cast,The Avett Brothers,Stark Sands,Adrian Blake Enscoe,Wayne Duvall,John Gallagher Jr.",Swept Away (Original Broadway Cast Recording),0.0
"Swept Away Original Broadway Cast,The Avett Brothers,Wayne Duvall,John Gallagher Jr.",Swept Away (Original Broadway Cast Recording),0.0
The Bird Calls,Melody Trail,0.0
The Moles,Composition Book,0.0
The Ocelots,"Everything, When Said Slowly",0.0
"Tom Speight,Lydia Clowes",Covers,0.0
"Tom Speight,The Mayries",Covers,0.0
"Tony Allen,La BOA",LA BOA MEETS TONY ALLEN,0.0
"Tony Allen,La BOA,Bejuco",LA BOA MEETS TONY ALLEN,0.0
"Tony Allen,La BOA,N. Hardem",LA BOA MEETS TONY ALLEN,0.0
Traxman,Da Mind Of Traxman Vol.3,0.0
"Traxman,Bobby Skillz,Sinjin Hawke",Da Mind Of Traxman Vol.3,0.0
"Traxman,DJ TWAN",Da Mind Of Traxman Vol.3,0.0
Wilder Woods,Curioso,77.78571428571429
"Wilder Woods,Anna Graves",Curioso,0.0
"Wilder Woods,Jim James",Curioso,0.0
"Wilder Woods,Maggie Rose",Curioso,0.0
"Zelooperz,Real Bad Man",Dear Psilocybin,0.0
"Zelooperz,Real Bad Man,Boldy James",Dear Psilocybin,0.0
"Zelooperz,Real Bad Man,MAVI",Dear Psilocybin,0.0
"Zelooperz,Real Bad Man,The Alchemist",Dear Psilocybin,0.0
