Artist,Album Name,Album Art,status
Lucy Dacus,Forever Is A Feeling,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/d6/05/38/d60538d1-a39e-cc54-f7db-a30645136486/24UM1IM40022.rgb.jpg/600x600bb.jpg,success
Destroyer,Dan's Boogie,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/51/3a/2c/513a2c33-f8a1-f1cb-076e-8fd5bc7dcc3d/1802.jpg/600x600bb.jpg,success
Great Grandpa,"Patience, Moonbeam",https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/84/59/0e/84590ebf-cec6-1187-e0a0-031e904e723f/50611.jpg/600x600bb.jpg,success
Perfume Genius,Glory,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/2b/82/d5/2b82d50c-e3c2-3881-260c-8e94f36d6ef6/191401210577.png/600x600bb.jpg,success
Palmyra,Restless,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/fd/c1/f6/fdc1f66c-ac40-e153-ad44-5a96cb4d9313/50686.jpg/600x600bb.jpg,success
Yukimi,For You,https://is1-ssl.mzstatic.com/image/thumb/Music/ed/dc/84/mzi.lacehyix.jpg/600x600bb.jpg,success
SPELLLING,Portrait of My Heart,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/8b/cc/47/8bcc4753-82ac-7639-f334-7fe97dda4d3d/50855.jpg/600x600bb.jpg,success
Alison Krauss & Union Station,Arcadia,https://is1-ssl.mzstatic.com/image/thumb/Music/4b/45/71/mzi.aduhodvi.jpg/600x600bb.jpg,success
Free Range,Lost & Found,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/3d/31/df/3d31dfaf-bac7-1839-fce8-7ee78d8116ed/cover.jpg/600x600bb.jpg,success
DJ Python,i was put on this earth,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/02/c6/b9/02c6b952-7d46-e5f6-dbf6-3c335d7938c1/191404150771.png/600x600bb.jpg,success
Hannah Cohen,Earthstar Mountain,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c8/8a/f5/c88af501-7aee-8d23-2c20-d0892a353c2a/198704298905_Cover.jpg/600x600bb.jpg,success
Bag People,Bag People,https://is1-ssl.mzstatic.com/image/thumb/Music/b1/a9/ea/mzi.bcejnuhw.tif/600x600bb.jpg,success
Bryan Ferry,Loose Talk,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/65/ea/19/65ea193c-c48c-85fd-ec71-9b9348946d4f/199066318553.jpg/600x600bb.jpg,success
Bria Salmena,Big Dog,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/99/da/51/99da5133-619c-1e9e-d93f-a47a3c849d20/098787164763.png/600x600bb.jpg,success
Butler,"Butler, Blake and Grant",https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/0b/95/f2/0b95f212-8c17-65db-db45-06c9dce44780/5053760124962_cover.jpg/600x600bb.jpg,success
CocoRosie,Little Death Wishes,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/0d/45/72/0d457297-3dbf-2671-4036-572d78b8b417/50759.jpg/600x600bb.jpg,success
girlpuppy,Sweetness,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/54/1c/0b/541c0bc8-fa6d-89c1-cd41-021154db4b7e/50824.jpg/600x600bb.jpg,success
Fusilier,Ambush,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/24/8a/43/248a43e1-5491-6486-b7d0-d5d9cb6dd6fd/108791.jpg/600x600bb.jpg,success
Dead Meadow,Voyager To Voyager,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/84/36/7f/84367fab-1d29-7914-ca6c-6d061d3ebca4/cover.jpg/600x600bb.jpg,success
JIVEBOMB,ETHEREAL,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/a5/73/71/a573717d-1560-60ab-d1d4-97d92f5d648c/199066182222.jpg/600x600bb.jpg,success
Mess Esque,"Jay Marie, Comfort Me",https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/9c/a8/cc/9ca8cc90-3c85-5a7e-8aae-660b05132775/781484095026.png/600x600bb.jpg,success
Photay,Windswept,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/32/95/4b/32954b9c-5cec-c01b-d49f-c61b44969899/184923137866_cover.jpg/600x600bb.jpg,success
Postcards,Ripe,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/0f/47/45/0f47450f-2981-63ef-b56c-81933ad210ea/5056321656193.png/600x600bb.jpg,success
Mumford & Sons,RUSHMERE,https://is1-ssl.mzstatic.com/image/thumb/Features2/v4/ea/ae/e8/eaaee887-d927-aab7-16e3-aa2d83e7f1f5/dj.titgwmey.jpg/600x600bb.jpg,success
Quinine,First Ever Whippet On Acid,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/d0/6b/fc/d06bfc44-54f1-936e-32ac-bd3443d4803e/52835.jpg/600x600bb.jpg,success
SACRED PAWS,Jump Into Life,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/95/e2/4d/95e24ded-8830-e4dc-b9ad-d6898874da22/1805.jpg/600x600bb.jpg,success
Sam Akpro,Evenfall,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/f1/b2/b6/f1b2b658-73bf-f53c-b7f0-15bb14906a46/0045778806867.png/600x600bb.jpg,success
Serebii,Dime,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/98/b4/96/98b496cc-365d-fedb-85d3-e020cb083b30/104881.jpg/600x600bb.jpg,success
Snapped Ankles,Hard Times Furious Dancing,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/88/11/9a/88119a2c-c4a6-d4b2-5a78-4d1de4e36cbb/108985.jpg/600x600bb.jpg,success
Somebody's Child,When Youth Fades Away,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/6c/bd/12/6cbd1261-2f28-d33e-93fd-6a6a55af9985/198846576428.jpg/600x600bb.jpg,success
Unknown Mortal Orchestra,IC-02 Bogotá,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d3/c6/8c/d3c68cae-9970-da3f-fdac-d3079cecf607/50943.jpg/600x600bb.jpg,success
Wallows,More,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/1a/4b/2b/1a4b2bd9-bd21-b722-01f9-6717044a609a/075679624536.jpg/600x600bb.jpg,success
James Elkington,Pastel De Nada,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/98/dc/bc/98dcbcef-fe31-1e17-092b-374fd443ccf4/53062.jpg/600x600bb.jpg,success
Pug Johnson,El Cabron,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/18/1d/4b/181d4b36-2cde-7d9c-126d-fba02c3db77e/198588869222.jpg/600x600bb.jpg,success
Cactus Lee,Cactus Lee,https://is1-ssl.mzstatic.com/image/thumb/Music6/v4/e2/4f/68/e24f68b5-a51e-6aaf-4205-7b6d830af5cc/889845610199.jpg/600x600bb.jpg,success
lilo,Blood Ties,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/8c/b2/2b/8cb22b1c-ea5b-59d1-6566-95bc24eab3bf/8721253067559.png/600x600bb.jpg,success
Boldy James,Hommage,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/10/86/c8/1086c8bd-6803-b045-2eb9-ccfc3b5f2fc9/199316016253_cover.jpg/600x600bb.jpg,success
NAV,OMW2 REXDALE,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/67/12/ec/6712ecd5-4192-ee4e-1b35-5fc4345df935/25UMGIM45460.rgb.jpg/600x600bb.jpg,success
YT,OI!,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/90/d9/e6/90d9e628-94f4-1fa2-104e-26eb21574e0a/196872960594.jpg/600x600bb.jpg,success
Salin,Rammana,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/54/eb/ef/54ebef85-68e8-0b63-1b22-514e4c81d9f4/199066919958.jpg/600x600bb.jpg,success
Hans Nieswandt,Fluoreszent,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/23/7b/43/237b43e0-9156-ac79-fed5-3771401cb385/4015698470499.jpg/600x600bb.jpg,success
CEM,FORMA,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/e5/6d/3d/e56d3d01-db18-8f96-adbb-e41ea3178627/649270909585_cover.jpg/600x600bb.jpg,success
Whitney Johnson,For Translucence,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/d5/ee/57/d5ee5715-e7f9-62d1-a825-c32fb9d7a6a6/781484095125.png/600x600bb.jpg,success
Kingdom Molongi,Kembo,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/a4/b9/01/a4b90176-f899-9fd9-e12b-daa6511216ee/51767.jpg/600x600bb.jpg,success
Logic1000,DJ-Kicks: Logic1000,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/b9/61/ad/b961adcf-3c99-63ac-7f42-468086b16dbe/4062548109993.png/600x600bb.jpg,success
Moomin,Into The Distance,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/d4/9b/74/d49b742e-807b-cbef-c842-330bf9cdc78d/cover.jpg/600x600bb.jpg,success
OHYUNG,You Are Always On My Mind,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/6a/54/70/6a54705d-6c3e-f66e-cc9e-c02da0ef2b54/108971.jpg/600x600bb.jpg,success
Pacific Coliseum,Voice Wave,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/5f/8f/47/5f8f47cb-ba07-3022-4b4c-c4bb2245fe17/4062548094442.png/600x600bb.jpg,success
Sandwell District,End Beginnings,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/b4/58/fb/b458fbc0-a0cf-35f8-4a0a-bf0cd5221230/5400863174026_cover.jpg/600x600bb.jpg,success
Shit And Shine,Mannheim Hbf,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c8/79/64/c879648e-216f-3546-f042-82710a5dfe2d/859703474744_cover.jpg/600x600bb.jpg,success
Steven Julien,TIME EP,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/2e/46/d9/2e46d93c-0b1a-d115-7f15-9d0803ac0291/4062548109603.png/600x600bb.jpg,success
Wolfgang Flür,Times,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/27/a8/c8/27a8c8bd-de3a-4501-1d4d-0a45d70648eb/885890732107.jpg/600x600bb.jpg,success
Yetsuby,4EVA,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/13/3d/e8/133de84c-1a64-7ca0-82e9-043d562d8219/cover.jpg/600x600bb.jpg,success
Butcher Brown,Letters From The Atlantic,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/94/0d/45/940d450d-78a3-14eb-12c6-bdc4a46e2ac2/24CRGIM46960.rgb.jpg/600x600bb.jpg,success
The Sure Fire Soul Ensemble,Gemini,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/1a/d6/62/1ad66296-b1b1-8fd5-c04e-f32bb13833bf/50841.jpg/600x600bb.jpg,success
chloe moriondo,oyster,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/94/fe/3a/94fe3a9e-f06f-244a-f003-b9d38631ac93/075679622204.jpg/600x600bb.jpg,success
Jessie Reyez,PAID IN MEMORIES,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/12/54/51/12545128-9a9e-2168-0eac-fc1e2374fb46/25UMGIM26807.rgb.jpg/600x600bb.jpg,success
Ruger,BlownBoy RU,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/07/71/50/0771502d-8aae-f46b-89a4-b5eae2079750/198704386855_Cover.jpg/600x600bb.jpg,success
Maya Delilah,The Long Way Round,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/21/51/d2/2151d28d-de09-326b-a95a-6bfcf490db17/24UMGIM88674.rgb.jpg/600x600bb.jpg,success
Will Smith,Based on a True Story,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/b4/c8/e0/b4c8e0e0-b6d7-e342-b9d2-a7b7c80a4ab0/5034644541181.jpg/600x600bb.jpg,success
Deafheaven,Lonely People With Power,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/fc/82/6a/fc826a19-49f2-025e-ba21-43789ec44a8b/075679623966.jpg/600x600bb.jpg,success
Backxwash,Only Dust Remains,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/31/79/d1/3179d1fe-6762-4f73-0b82-0f882261793e/artwork.jpg/600x600bb.jpg,success
Dean Wareham,That’s the Price of Loving Me,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d2/9c/34/d29c34cd-17dd-8810-333f-3fc6939eb70b/108067.jpg/600x600bb.jpg,success
Clothing,Beauty Filter,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/78/e8/17/78e81754-82ce-0887-0901-61c4923c6445/198846556031.jpg/600x600bb.jpg,success
Lucky Cloud,Foreground,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/b1/9c/27/b19c274f-1954-390f-6377-38be33449c75/artwork.jpg/600x600bb.jpg,success
poptropicaslutz!,the new 925,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/67/bd/13/67bd131a-9a19-e0bd-7ad3-04eb8718f398/0045778810024.png/600x600bb.jpg,success
Doomsday,Never Known Peace,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/16/9b/2f/169b2fcb-5200-c99c-bb29-822df4e862a3/artwork.jpg/600x600bb.jpg,success
MUUD.,ADMONITION - COMPILATION 001,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/0e/08/57/0e08575a-de9c-e600-2a14-9bf1ce978774/5063654958993_cover.jpg/600x600bb.jpg,success
Half Gringa,Cosmovisión,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/8b/a6/41/8ba6412c-0434-73f6-872e-0088d27bbad5/198999896015.jpg/600x600bb.jpg,success
